Datetime,Water Level (m)
2023-04-28 12:00:00,0.32950068
2023-04-28 13:00:00,0.28985253
2023-04-28 14:00:00,0.2162336
2023-04-28 15:00:00,0.09357831
2023-04-28 16:00:00,-0.03751939
2023-04-28 17:00:00,-0.1495187
2023-04-28 18:00:00,-0.24656865
2023-04-28 19:00:00,-0.32027915
2023-04-28 20:00:00,-0.34948418
2023-04-28 21:00:00,-0.28350434
2023-04-28 22:00:00,-0.109207734
2023-04-28 23:00:00,0.03977086
2023-04-29 00:00:00,0.100909315
2023-04-29 01:00:00,0.0780073
2023-04-29 02:00:00,0.012778493
2023-04-29 03:00:00,-0.07190633
2023-04-29 04:00:00,-0.17376567
2023-04-29 05:00:00,-0.271995
2023-04-29 06:00:00,-0.35036454
2023-04-29 07:00:00,-0.38550657
2023-04-29 08:00:00,-0.35316527
2023-04-29 09:00:00,-0.19377086
2023-04-29 10:00:00,0.012423967
2023-04-29 11:00:00,0.1808505
2023-04-29 12:00:00,0.30627286
2023-04-29 13:00:00,0.36210403
2023-04-29 14:00:00,0.34841403
2023-04-29 15:00:00,0.2738047
2023-04-29 16:00:00,0.13608716
2023-04-29 17:00:00,-0.030818313
2023-04-29 18:00:00,-0.18311067
2023-04-29 19:00:00,-0.30658495
2023-04-29 20:00:00,-0.4000934
2023-04-29 21:00:00,-0.4484125
2023-04-29 22:00:00,-0.40298575
2023-04-29 23:00:00,-0.18870898
2023-04-30 00:00:00,0.04975218
2023-04-30 01:00:00,0.1873909
2023-04-30 02:00:00,0.22660127
2023-04-30 03:00:00,0.20011285
2023-04-30 04:00:00,0.105414085
2023-04-30 05:00:00,-0.05444268
2023-04-30 06:00:00,-0.20086266
2023-04-30 07:00:00,-0.31211394
2023-04-30 08:00:00,-0.38991156
2023-04-30 09:00:00,-0.42114252
2023-04-30 10:00:00,-0.33463112
2023-04-30 11:00:00,-0.06393963
2023-04-30 12:00:00,0.20712098
2023-04-30 13:00:00,0.400866
2023-04-30 14:00:00,0.49142808
2023-04-30 15:00:00,0.48589432
2023-04-30 16:00:00,0.384907
2023-04-30 17:00:00,0.18973364
2023-04-30 18:00:00,-0.015266693
2023-04-30 19:00:00,-0.18268855
2023-04-30 20:00:00,-0.31355363
2023-04-30 21:00:00,-0.42352936
2023-04-30 22:00:00,-0.49977124
2023-04-30 23:00:00,-0.47810215
2023-05-01 00:00:00,-0.18578771
2023-05-01 01:00:00,0.14844553
2023-05-01 02:00:00,0.33282396
2023-05-01 03:00:00,0.3909841
2023-05-01 04:00:00,0.35737395
2023-05-01 05:00:00,0.2203134
2023-05-01 06:00:00,0.00822694
2023-05-01 07:00:00,-0.17576772
2023-05-01 08:00:00,-0.31520408
2023-05-01 09:00:00,-0.4085307
2023-05-01 10:00:00,-0.4565603
2023-05-01 11:00:00,-0.37911177
2023-05-01 12:00:00,-0.049284324
2023-05-01 13:00:00,0.27332187
2023-05-01 14:00:00,0.48203662
2023-05-01 15:00:00,0.5639342
2023-05-01 16:00:00,0.53060144
2023-05-01 17:00:00,0.37137952
2023-05-01 18:00:00,0.11672642
2023-05-01 19:00:00,-0.09221977
2023-05-01 20:00:00,-0.253318
2023-05-01 21:00:00,-0.37524074
2023-05-01 22:00:00,-0.4830978
2023-05-01 23:00:00,-0.5524089
2023-05-02 00:00:00,-0.4275635
2023-05-02 01:00:00,-0.016331468
2023-05-02 02:00:00,0.32007867
2023-05-02 03:00:00,0.49105412
2023-05-02 04:00:00,0.53608686
2023-05-02 05:00:00,0.45104048
2023-05-02 06:00:00,0.22494762
2023-05-02 07:00:00,-0.02255876
2023-05-02 08:00:00,-0.20318417
2023-05-02 09:00:00,-0.32962403
2023-05-02 10:00:00,-0.4190761
2023-05-02 11:00:00,-0.4742777
2023-05-02 12:00:00,-0.38039014
2023-05-02 13:00:00,0.05645326
2023-05-02 14:00:00,0.44128802
2023-05-02 15:00:00,0.65025204
2023-05-02 16:00:00,0.7139278
2023-05-02 17:00:00,0.64636314
2023-05-02 18:00:00,0.39557
2023-05-02 19:00:00,0.08746766
2023-05-02 20:00:00,-0.12663059
2023-05-02 21:00:00,-0.28250825
2023-05-02 22:00:00,-0.40823025
2023-05-02 23:00:00,-0.519147
2023-05-03 00:00:00,-0.5733897
2023-05-03 01:00:00,-0.2696312
2023-05-03 02:00:00,0.21996163
2023-05-03 03:00:00,0.5235515
2023-05-03 04:00:00,0.6725015
2023-05-03 05:00:00,0.6738243
2023-05-03 06:00:00,0.5170739
2023-05-03 07:00:00,0.21353972
2023-05-03 08:00:00,-0.03499602
2023-05-03 09:00:00,-0.19918996
2023-05-03 10:00:00,-0.3181187
2023-05-03 11:00:00,-0.41328526
2023-05-03 12:00:00,-0.46916574
2023-05-03 13:00:00,-0.28155372
2023-05-03 14:00:00,0.19287835
2023-05-03 15:00:00,0.54362804
2023-05-03 16:00:00,0.71240455
2023-05-03 17:00:00,0.70940214
2023-05-03 18:00:00,0.53469497
2023-05-03 19:00:00,0.2071713
2023-05-03 20:00:00,-0.04483817
2023-05-03 21:00:00,-0.22331546
2023-05-03 22:00:00,-0.35507533
2023-05-03 23:00:00,-0.47271582
2023-05-04 00:00:00,-0.56916
2023-05-04 01:00:00,-0.5264846
2023-05-04 02:00:00,-0.04467387
2023-05-04 03:00:00,0.42312995
2023-05-04 04:00:00,0.7035294
2023-05-04 05:00:00,0.8196977
2023-05-04 06:00:00,0.7611983
2023-05-04 07:00:00,0.49187034
2023-05-04 08:00:00,0.15591717
2023-05-04 09:00:00,-0.062086757
2023-05-04 10:00:00,-0.21018413
2023-05-04 11:00:00,-0.32781047
2023-05-04 12:00:00,-0.42712975
